[21:20:03] Model: mobilenet | Latency: 7.6ms | CPU: 23.5% | RAM: 15.3% | Temp: 55.4C
[21:20:03] Model: mobilenet | Latency: 3.9ms | CPU: 15.4% | RAM: 15.3% | Temp: 56.0C
[21:20:03] Model: mobilenet | Latency: 4.4ms | CPU: 21.1% | RAM: 15.3% | Temp: 56.0C
[21:20:03] Model: mobilenet | Latency: 3.8ms | CPU: 7.7% | RAM: 15.3% | Temp: 56.5C
[21:20:03] Model: mobilenet | Latency: 4.8ms | CPU: 13.3% | RAM: 15.3% | Temp: 56.5C
[21:20:03] Model: mobilenet | Latency: 4.7ms | CPU: 20.0% | RAM: 15.3% | Temp: 56.5C
[21:20:03] Model: mobilenet | Latency: 4.7ms | CPU: 35.3% | RAM: 15.3% | Temp: 56.5C
[21:20:03] Model: mobilenet | Latency: 4.9ms | CPU: 25.0% | RAM: 15.3% | Temp: 56.5C
[21:20:03] Model: mobilenet | Latency: 5.6ms | CPU: 18.8% | RAM: 15.3% | Temp: 56.5C
[21:20:03] Model: mobilenet | Latency: 4.0ms | CPU: 20.0% | RAM: 15.3% | Temp: 56.5C
[21:20:03] Model: mobilenet | Latency: 3.8ms | CPU: 16.7% | RAM: 15.3% | Temp: 55.4C
[21:20:03] Model: mobilenet | Latency: 5.5ms | CPU: 33.3% | RAM: 15.3% | Temp: 56.0C
[21:20:03] Model: mobilenet | Latency: 4.2ms | CPU: 26.7% | RAM: 15.3% | Temp: 56.5C
[21:20:03] Model: mobilenet | Latency: 5.5ms | CPU: 17.6% | RAM: 15.3% | Temp: 56.0C
[21:20:03] Model: mobilenet | Latency: 4.2ms | CPU: 20.0% | RAM: 15.3% | Temp: 56.5C
[21:20:03] Model: mobilenet | Latency: 4.2ms | CPU: 17.6% | RAM: 15.3% | Temp: 55.4C
[21:20:04] Model: mobilenet | Latency: 4.4ms | CPU: 21.4% | RAM: 15.3% | Temp: 55.4C
[21:20:04] Model: mobilenet | Latency: 4.6ms | CPU: 25.0% | RAM: 15.3% | Temp: 57.1C
[21:20:04] Model: mobilenet | Latency: 3.8ms | CPU: 21.4% | RAM: 15.3% | Temp: 56.0C
[21:20:04] Model: mobilenet | Latency: 4.1ms | CPU: 15.4% | RAM: 15.3% | Temp: 57.1C
[21:20:04] Model: mobilenet | Latency: 3.9ms | CPU: 23.1% | RAM: 15.3% | Temp: 57.1C
[21:20:04] Model: mobilenet | Latency: 3.8ms | CPU: 9.1% | RAM: 15.3% | Temp: 57.1C
[21:20:04] Model: mobilenet | Latency: 5.8ms | CPU: 23.1% | RAM: 15.3% | Temp: 56.0C
[21:20:04] Model: mobilenet | Latency: 6.4ms | CPU: 15.4% | RAM: 15.3% | Temp: 57.1C
[21:20:04] Model: mobilenet | Latency: 6.0ms | CPU: 25.0% | RAM: 15.3% | Temp: 56.0C
[21:20:04] Model: mobilenet | Latency: 6.6ms | CPU: 15.4% | RAM: 15.3% | Temp: 56.0C
[21:20:04] Model: mobilenet | Latency: 5.1ms | CPU: 23.5% | RAM: 15.3% | Temp: 56.0C
